artist,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list
Eddie Vedder,6sp6Vx3sv2l5qxPfbQkcyt,The Haves,0.474,0.519,7,-5.291,1,0.0253,0.281,0.0,0.107,0.326,151.832,61.0,acoustic_rock grunge permanent_wave,0,"['acoustic_rock', 'grunge', 'permanent_wave']"
Brandi Carlile,1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile,6JGjevTaqr9J1xp7YvYUKF,"Speak Your Mind (From the Netflix Series ""We The People"")",0.476,0.666,6,-3.438,1,0.0446,0.314,0.0,0.342,0.498,148.155,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,7Af2YlwMZryKOQiRfwMsD2,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,3RE5nHIVkC4KcA7snFaTKd,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,0JvkNRyq8Tmot9khpdtN0I,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,27gHtbsHClwimHFtKgFop4,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Brandi Carlile;Lucius,1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
