artist,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list
Gen Hoshino,5SuOikwiRyPMVoIQDJUgSV,Comedy,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,62.0,j-acoustic j-pop japanese_singer-songwriter,69,"['j-acoustic', 'j-pop', 'japanese_singer-songwriter']"
Ben Woodward,4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,46.0,acoustic_chill,49,['acoustic_chill']
Ingrid Michaelson;ZAYN,1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,58.0,acoustic_pop ectofolk lilith neo_mellow,54,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow']"
Kina Grannis,6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,59.0,acoustic_pop viral_pop,70,"['acoustic_pop', 'viral_pop']"
Chord Overstreet,5vjLSffimiIP26QG5WcN2K,Hold On,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,62.0,acoustic_pop,82,['acoustic_pop']
Tyrone Wells,01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,45.0,acoustic_pop neo_mellow,0,"['acoustic_pop', 'neo_mellow']"
A Great Big World;Christina Aguilera,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,60.0,neo_mellow piano_rock pop_rock viral_pop,76,"['neo_mellow', 'piano_rock', 'pop_rock', 'viral_pop']"
Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,72.0,acoustic_pop dance_pop neo_mellow pop,81,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']"
Jason Mraz;Colbie Caillat,0IktbUcnAGrvD03AWnz3Q8,Lucky,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,72.0,acoustic_pop dance_pop neo_mellow pop,74,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']"
Ross Copperman,7k9GuJYLp2AzqokyEdwEw2,Hunger,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,42.0,acoustic_pop piano_rock,59,"['acoustic_pop', 'piano_rock']"
Zack Tabudlo,4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,69.0,acoustic_opm opm p-pop,76,"['acoustic_opm', 'opm', 'p-pop']"
Jason Mraz,5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,72.0,acoustic_pop dance_pop neo_mellow pop,72,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']"
